lot	product	step	tool	machine	start_time	end_time
1824	4	177	dielectric_fe_130	824	0.0	3195.0
896	3	250	dielectric_fe_29	828	0.0	2792.0
1187	3	101	planar_fe_77	1226	0.0	2586.0
2084	4	80	litho_fe_111	981	0.0	101.0
1678	4	235	litho_be_99	978	0.0	141.0
1868	4	164	litho_fe_111	982	0.0	186.0
1612	4	276	we_be_82	1351	0.0	52.0
1191	3	108	implant_91	941	0.0	74.0
206	3	477	lithotrack_fe_95	1152	0.0	196.0
23	3	566	lithotrack_fe_95	1153	0.0	158.0
341	3	389	litho_fe_92	1005	0.0	128.0
518	3	352	litho_reg_fe_64	1051	0.0	1167.0
1255	3	84	litho_fe_111	983	0.0	101.0
847	3	250	dielectric_fe_29	829	0.0	2792.0
1568	4	276	we_be_82	1352	0.0	52.0
289	3	446	lithomet_be_18	1065	0.0	1567.0
1268	3	83	we_fe_84	1423	0.0	54.0
550	3	348	lithotrack_fe_115	1101	0.0	99.0
228	3	471	we_be_82	1353	0.0	42.0
300	3	438	litho_be_99	979	0.0	141.0
480	3	373	dielectric_fe_130	825	0.0	2961.0
1252	3	78	litho_fe_111	984	0.0	166.0
1691	4	234	lithotrack_fe_95	1154	0.0	149.0
1829	4	182	we_fe_84	1424	0.0	52.0
233	3	478	litho_be_110	947	0.0	117.0
1724	4	213	lithotrack_fe_95	1155	0.0	194.0
572	3	344	litho_fe_92	1006	0.0	155.0
2112	4	67	litho_fe_98	1038	0.0	198.0
2005	4	102	we_fe_8	1414	0.0	47.0
599	3	326	litho_reg_fe_64	1052	0.0	1438.0
200	3	477	lithotrack_fe_95	1156	0.0	196.0
1101	3	148	litho_fe_111	985	0.0	190.0
2097	4	74	litho_fe_111	986	0.0	166.0
447	3	373	dielectric_fe_130	826	0.0	2961.0
1560	4	266	we_be_9	1361	0.0	54.0
2158	4	41	we_fe_47	1408	0.0	68.0
613	3	336	dielectric_fe_29	830	0.0	2802.0
288	3	438	litho_be_99	980	0.0	141.0
337	3	435	lithotrack_be_117	1096	0.0	171.0
325	3	438	litho_be_99	978	141.0	282.0
962	3	221	defmet_fe_10	365	0.0	544.0
978	3	211	tf_met_fe_61	1329	0.0	487.0
478	3	373	dielectric_fe_130	827	0.0	2961.0
1075	3	168	we_fe_108	1368	0.0	58.0
247	3	487	dielectric_be_21	783	0.0	2574.0
1299	3	64	litho_fe_98	1039	0.0	87.0
1265	3	76	we_fe_108	1369	0.0	47.0
1356	3	32	litho_fe_92	1007	0.0	133.0
115	3	496	litho_be_110	948	0.0	165.0
939	3	158	litho_fe_111	987	0.0	186.0
1980	4	130	litho_fe_92	1008	0.0	119.0
789	3	271	implant_128	917	0.0	51.0
1946	4	141	litho_fe_111	988	0.0	120.0
2109	4	67	litho_fe_98	1040	0.0	198.0
1167	3	101	planar_fe_77	1227	0.0	2586.0
173	3	487	dielectric_be_21	784	0.0	2574.0
1607	4	273	dielectric_be_27	791	0.0	2016.0
1076	3	163	implant_128	918	0.0	53.0
1609	4	277	litho_be_110	949	0.0	172.0
1585	4	265	litho_be_110	950	0.0	117.0
1277	3	71	litho_fe_98	1041	0.0	198.0
1123	3	141	we_fe_108	1370	0.0	60.0
1583	4	283	litho_be_110	951	0.0	165.0
862	3	249	we_fe_108	1371	0.0	41.0
1611	4	265	litho_be_110	952	0.0	117.0
267	3	456	litho_be_93	975	0.0	125.0
549	3	350	litho_fe_92	1009	0.0	140.0
332	3	433	we_be_82	1354	0.0	36.0
1802	4	198	lithotrack_fe_115	1102	0.0	195.0
798	3	14	litho_reg_fe_64	1053	0.0	1516.0
1131	3	150	litho_reg_fe_64	1054	0.0	1516.0
342	3	389	litho_fe_92	1010	0.0	128.0
1814	4	185	litho_fe_92	1011	0.0	155.0
560	3	344	litho_fe_92	1012	0.0	155.0
645	3	327	implant_128	919	0.0	47.0
